Thread ID,Response Time (seconds)
14,2.1962
5,2.7875
6,2.7160
1,3.3815
15,2.7393
4,1.7900
2,2.1928
8,3.0611
16,2.6048
10,3.1206
7,4.3513
3,4.8162
12,3.6564
17,5.0858
9,6.0824
11,4.1862
13,5.8912
5,2.1717
14,3.6050
1,3.6541
6,2.7681
4,3.0702
15,3.4531
8,2.0748
2,2.7966
3,4.6751
16,6.3456
10,6.0014
7,2.8701
12,4.6014
9,2.8337
13,3.1901
11,2.3232
17,2.4595
5,2.4143
1,3.0714
6,2.5012
4,2.7462
14,2.2162
15,2.2812
2,3.2808
8,2.8262
3,2.8556
12,4.5528
16,4.8607
7,3.9616
10,2.4938
11,4.0586
13,4.1620
